pulseheight,counts_ch_A,counts_ch_B
54.92671335667835,11331,0
55.07528764382192,10800,0
55.2238619309655,10526,0
55.372436218109065,10123,0
55.52101050525264,9491,0
55.66958479239621,8965,0
55.81815907953978,8571,0
55.96673336668336,7997,0
56.115307653826925,7400,0
56.2638819409705,6991,0
56.41245622811407,6324,0
56.56103051525764,5677,0
56.709604802401216,5140,0
56.858179089544784,4794,0
57.00675337668836,4146,0
57.155327663831926,3803,0
57.3039019509755,3359,0
57.452476238119075,3008,0
57.60105052526264,2574,0
57.74962481240622,2287,0
57.898199099549785,2003,0
58.04677338669336,1765,0
58.195347673836935,1423,0
58.3439219609805,1291,0
58.49249624812408,997,0
58.641070535267644,916,0
58.78964482241122,733,0
58.938219109554794,626,0
59.08679339669836,518,0
59.235367683841936,464,0
59.383941970985504,389,0
59.53251625812908,307,0
59.68109054527265,237,0
59.82966483241622,222,0
59.978239119559795,181,0
60.12681340670336,144,0
60.27538769384694,111,0
60.42396198099051,83,0
60.57253626813408,70,0
60.72111055527765,65,0
60.86968484242122,36,0
61.0182591295648,39,0
61.16683341670837,38,0
61.31540770385194,30,0
61.46398199099551,24,0
61.61255627813908,15,0
61.761130565282656,15,0
61.90970485242623,20,0
62.0582791395698,15,0
62.206853426713366,17,0
62.35542771385694,20,0
62.504002001000515,11,0
62.65257628814409,18,0
62.80115057528766,14,0
62.949724862431225,14,0
63.0982991495748,20,0
63.246873436718374,20,0
63.39544772386195,4,0
63.54402201100552,11,0
63.692596298149084,17,0
63.84117058529266,11,0
63.98974487243623,16,0
64.13831915957981,4,0
64.28689344672338,7,0
64.43546773386694,14,0
64.58404202101053,12,0
64.73261630815409,7,0
64.88119059529767,13,0
65.02976488244124,16,0
65.1783391695848,12,0
65.32691345672839,13,0
65.47548774387195,12,0
65.62406203101553,9,0
65.7726363181591,12,0
65.92121060530266,12,0
66.06978489244625,16,0
66.21835917958981,16,0
66.36693346673339,7,0
66.51550775387696,15,0
66.66408204102052,6,0
66.81265632816411,6,0
66.96123061530767,10,0
67.10980490245123,14,0
67.25837918959482,17,0
67.40695347673838,14,0
67.55552776388195,6,0
67.70410205102553,6,0
67.85267633816909,6,0
68.00125062531268,7,0
68.14982491245624,11,0
68.29839919959981,3,0
68.44697348674339,8,0
68.59554777388695,14,0
68.74412206103054,4,0
68.8926963481741,9,0
69.04127063531767,12,0
69.18984492246125,8,0
69.33841920960481,7,0
69.4869934967484,9,0
69.63556778389196,10,0
69.78414207103553,10,0
69.9327163581791,9,0
70.08129064532267,13,0
70.22986493246626,7,0
70.37843921960982,2,0
70.52701350675339,5,0
70.67558779389697,12,0
70.82416208104053,8,0
70.97273636818412,4,0
71.12131065532768,12,0
71.26988494247125,5,0
71.41845922961483,4,0
71.56703351675839,7,0
71.71560780390197,7,0
71.86418209104554,13,0
72.01275637818911,7,0
72.16133066533268,6,0
72.30990495247624,4,0
72.45847923961983,7,0
72.6070535267634,7,0
72.75562781390697,4,0
72.90420210105054,9,0
73.0527763881941,9,0
73.2013506753377,4,0
73.34992496248125,11,0
73.49849924962483,5,0
73.6470735367684,7,0
73.79564782391196,8,0
73.94422211105555,4,0
74.09279639819911,6,0
74.24137068534269,6,0
74.38994497248626,10,0
74.53851925962982,7,0
74.68709354677341,11,0
74.83566783391697,5,0
74.98424212106055,8,0
75.13281640820412,7,0
75.28139069534768,6,0
75.42996498249127,5,0
75.57853926963483,3,0
75.7271135567784,7,0
75.87568784392198,12,0
76.02426213106554,6,0
76.17283641820913,8,0
76.32141070535269,4,0
76.46998499249626,7,0
76.61855927963984,4,0
76.7671335667834,7,0
76.91570785392699,5,0
77.06428214107055,4,0
77.21285642821412,5,0
77.3614307153577,5,0
77.51000500250126,8,0
77.65857928964485,8,0
77.80715357678841,6,0
77.95572786393198,3,0
78.10430215107556,10,0
78.25287643821912,8,0
78.40145072536271,5,0
78.55002501250627,11,0
78.69859929964984,6,0
78.84717358679342,6,0
78.99574787393698,4,0
79.14432216108057,2,0
79.29289644822413,3,0
79.4414707353677,5,0
79.59004502251128,3,0
79.73861930965484,4,0
79.88719359679843,8,0
80.03576788394199,9,0
80.18434217108556,9,0
80.33291645822914,7,0
80.4814907453727,4,0
80.63006503251628,1,0
80.77863931965985,6,0
80.92721360680342,4,0
81.075787893947,1,0
81.22436218109056,3,0
81.37293646823414,7,0
81.5215107553777,4,0
81.67008504252128,6,0
81.81865932966485,8,0
81.96723361680841,7,0
82.115807903952,4,0
82.26438219109556,5,0
82.41295647823914,2,0
82.56153076538271,3,0
82.71010505252627,7,0
82.85867933966986,5,0
83.00725362681342,5,0
83.155827913957,6,0
83.30440220110057,4,0
83.45297648824413,2,0
83.60155077538772,6,0
83.75012506253128,7,0
83.89869934967486,5,0
84.04727363681843,6,0
84.19584792396199,4,0
84.34442221110558,6,0
84.49299649824914,5,0
84.64157078539272,3,0
84.79014507253629,2,0
84.93871935967985,8,0
85.08729364682344,5,0
85.235867933967,5,0
85.38444222111058,4,0
85.53301650825415,6,0
85.68159079539771,4,0
85.8301650825413,6,0
85.97873936968486,4,0
86.12731365682843,7,0
86.27588794397201,3,0
86.42446223111557,6,0
86.57303651825916,5,0
86.72161080540272,3,0
86.8701850925463,11,0
87.01875937968987,8,0
87.16733366683343,8,0
87.31590795397702,4,0
87.46448224112058,3,0
87.61305652826415,6,0
87.76163081540773,2,0
87.91020510255129,8,0
88.05877938969488,3,0
88.20735367683844,7,0
88.35592796398201,4,0
88.50450225112559,3,0
88.65307653826915,2,0
88.80165082541274,4,0
88.9502251125563,2,0
89.09879939969987,1,0
89.24737368684345,3,0
89.395947973987,7,0
89.5445222611306,4,0
89.69309654827416,2,0
89.84167083541773,4,0
89.9902451225613,3,0
90.13881940970487,2,0
90.28739369684845,4,0
90.43596798399201,5,0
90.58454227113559,2,0
90.73311655827916,4,0
90.88169084542272,4,0
91.03026513256631,1,0
91.17883941970987,6,0
91.32741370685345,5,0
91.47598799399702,5,0
