pulseheight,counts_ch_A,counts_ch_B
58.3439219609805,42,20
58.49249624812408,43,17
58.641070535267644,35,27
58.78964482241122,32,18
58.938219109554794,39,18
59.08679339669836,42,19
59.235367683841936,40,18
59.383941970985504,25,24
59.53251625812908,53,20
59.68109054527265,43,18
59.82966483241622,40,21
59.978239119559795,36,26
60.12681340670336,36,27
60.27538769384694,31,26
60.42396198099051,30,21
60.57253626813408,38,15
60.72111055527765,46,24
60.86968484242122,35,15
61.0182591295648,33,25
61.16683341670837,42,20
61.31540770385194,36,19
61.46398199099551,39,10
61.61255627813908,43,27
61.761130565282656,27,23
61.90970485242623,32,21
62.0582791395698,39,26
62.206853426713366,43,21
62.35542771385694,35,20
62.504002001000515,45,21
62.65257628814409,41,22
62.80115057528766,23,22
62.949724862431225,38,17
63.0982991495748,36,21
63.246873436718374,31,20
63.39544772386195,36,18
63.54402201100552,33,28
63.692596298149084,34,22
63.84117058529266,25,19
63.98974487243623,34,17
64.13831915957981,37,17
64.28689344672338,29,9
64.43546773386694,32,23
64.58404202101053,33,28
64.73261630815409,45,24
64.88119059529767,37,26
65.02976488244124,38,22
65.1783391695848,34,24
65.32691345672839,26,18
65.47548774387195,39,28
65.62406203101553,43,13
65.7726363181591,42,23
65.92121060530266,35,26
66.06978489244625,33,14
66.21835917958981,34,17
66.36693346673339,47,26
66.51550775387696,38,22
66.66408204102052,42,23
66.81265632816411,38,22
66.96123061530767,46,28
67.10980490245123,27,30
67.25837918959482,37,23
67.40695347673838,34,21
67.55552776388195,33,20
67.70410205102553,39,15
67.85267633816909,35,25
68.00125062531268,44,18
68.14982491245624,24,36
68.29839919959981,53,24
68.44697348674339,38,26
68.59554777388695,41,19
68.74412206103054,36,23
68.8926963481741,37,29
69.04127063531767,43,18
69.18984492246125,37,21
69.33841920960481,33,20
69.4869934967484,40,25
69.63556778389196,42,17
69.78414207103553,42,34
69.9327163581791,42,14
70.08129064532267,37,16
70.22986493246626,43,17
70.37843921960982,50,30
70.52701350675339,36,18
70.67558779389697,46,17
70.82416208104053,42,16
70.97273636818412,37,16
71.12131065532768,40,25
71.26988494247125,38,20
71.41845922961483,31,20
71.56703351675839,42,27
71.71560780390197,41,21
71.86418209104554,40,31
72.01275637818911,30,17
72.16133066533268,34,15
72.30990495247624,35,26
72.45847923961983,51,21
72.6070535267634,26,15
72.75562781390697,34,23
72.90420210105054,34,13
73.0527763881941,46,14
73.2013506753377,43,20
73.34992496248125,37,19
73.49849924962483,31,17
73.6470735367684,46,20
73.79564782391196,33,22
73.94422211105555,30,19
74.09279639819911,46,14
74.24137068534269,32,17
74.38994497248626,31,21
74.53851925962982,50,17
74.68709354677341,32,20
74.83566783391697,36,20
74.98424212106055,46,12
75.13281640820412,43,9
75.28139069534768,36,11
75.42996498249127,36,21
75.57853926963483,38,11
75.7271135567784,33,11
75.87568784392198,37,14
76.02426213106554,36,15
76.17283641820913,41,15
76.32141070535269,31,11
76.46998499249626,36,8
76.61855927963984,25,16
76.7671335667834,34,15
76.91570785392699,27,13
77.06428214107055,30,13
77.21285642821412,31,12
77.3614307153577,29,10
77.51000500250126,26,16
77.65857928964485,38,5
77.80715357678841,27,8
77.95572786393198,40,13
78.10430215107556,29,8
78.25287643821912,29,12
78.40145072536271,25,6
78.55002501250627,27,10
78.69859929964984,30,8
78.84717358679342,28,7
78.99574787393698,21,12
79.14432216108057,25,11
79.29289644822413,21,10
79.4414707353677,14,7
79.59004502251128,25,9
79.73861930965484,21,14
79.88719359679843,25,5
80.03576788394199,14,10
80.18434217108556,23,6
80.33291645822914,30,13
80.4814907453727,24,9
80.63006503251628,26,12
80.77863931965985,25,9
80.92721360680342,18,9
81.075787893947,18,9
81.22436218109056,14,17
81.37293646823414,19,13
81.5215107553777,15,15
81.67008504252128,15,11
81.81865932966485,13,8
81.96723361680841,8,9
82.115807903952,15,12
82.26438219109556,18,14
82.41295647823914,15,10
82.56153076538271,14,6
82.71010505252627,9,12
82.85867933966986,20,8
83.00725362681342,18,11
83.155827913957,17,13
83.30440220110057,13,13
83.45297648824413,15,10
83.60155077538772,15,10
83.75012506253128,11,12
83.89869934967486,6,5
84.04727363681843,10,9
84.19584792396199,15,8
84.34442221110558,12,11
84.49299649824914,14,15
84.64157078539272,9,16
84.79014507253629,15,12
84.93871935967985,12,16
85.08729364682344,14,12
85.235867933967,9,14
85.38444222111058,8,16
85.53301650825415,12,8
85.68159079539771,12,7
85.8301650825413,7,3
85.97873936968486,14,15
86.12731365682843,4,10
86.27588794397201,9,10
86.42446223111557,10,9
86.57303651825916,9,11
86.72161080540272,6,9
86.8701850925463,13,19
87.01875937968987,10,11
87.16733366683343,12,10
87.31590795397702,8,16
87.46448224112058,19,22
87.61305652826415,7,28
87.76163081540773,12,20
87.91020510255129,10,18
88.05877938969488,8,14
88.20735367683844,10,16
88.35592796398201,9,22
88.50450225112559,14,17
88.65307653826915,14,29
88.80165082541274,14,25
88.9502251125563,11,34
89.09879939969987,18,30
89.24737368684345,8,22
89.395947973987,13,33
89.5445222611306,19,32
89.69309654827416,17,26
89.84167083541773,17,34
89.9902451225613,19,38
90.13881940970487,20,34
90.28739369684845,27,34
90.43596798399201,19,27
